@relation EtiquetasConsultas

@attribute specificity {medium, specific, broad}
@attribute task {inf, notinf, both}
@attribute objective {resource, action}
@attribute authosen {yes, no}
@attribute spatialsen {yes, no}
@attribute timesen {yes, no}
@attribute polywords {yes, no}
@attribute genre {reference, news, business, community}



@attribute topic {Adults-Sex, Arts-Culture, Finance, Cars-Transportation, Computers-Internet, Education, Entertainment-Music-Games, Health, Home-Garden, Politics-Government, Religion-Belief-Systems, Science-Mathematics, Social-Science, Sports, Technology-Electronic, Travel, Beauty-Style, Industrial-Goods-Services, Undefined, Work, Food-Drink, Charity, Person}

@data

medium,notinf,resource,no,no,no,no,reference,Computers-Internet
medium,inf,resource,no,no,no,no,reference,Adults-Sex
medium,notinf,resource,no,yes,no,no,reference,Science-Mathematics
specific,inf,resource,no,no,no,no,reference,Arts-Culture
medium,notinf,action,no,no,no,no,reference,Entertainment-Music-Games
medium,inf,resource,no,no,no,no,reference,Computers-Internet
specific,inf,resource,no,yes,no,no,news,Entertainment-Music-Games
broad,inf,resource,no,no,no,no,reference,Science-Mathematics
medium,inf,resource,no,no,no,no,reference,Adults-Sex
medium,notinf,action,no,no,no,no,business,Home-Garden
medium,notinf,resource,no,no,no,no,reference,Social-Science
medium,inf,resource,no,no,no,no,reference,Arts-Culture
medium,inf,resource,no,yes,no,no,reference,Health
specific,inf,resource,no,yes,no,no,business,Finance
specific,inf,resource,yes,yes,no,no,reference,Education
medium,inf,action,no,no,no,no,reference,Entertainment-Music-Games
medium,both,action,no,no,no,no,news,Entertainment-Music-Games
specific,both,action,yes,no,no,no,community,Entertainment-Music-Games
medium,inf,resource,no,no,no,no,reference,Adults-Sex
medium,both,action,no,no,no,no,business,Technology-Electronic
medium,both,action,no,no,no,no,reference,Entertainment-Music-Games
specific,inf,resource,no,yes,no,no,reference,Travel
medium,both,action,no,no,no,no,reference,Entertainment-Music-Games
medium,both,action,no,no,no,no,reference,Entertainment-Music-Games
medium,inf,resource,no,no,no,no,reference,Computers-Internet
specific,inf,resource,no,yes,no,no,business,Computers-Internet
medium,inf,resource,no,no,no,no,reference,Adults-Sex
medium,notinf,resource,no,no,no,no,reference,Arts-Culture
medium,notinf,resource,no,no,no,no,reference,Entertainment-Music-Games
medium,inf,resource,no,no,no,no,reference,Adults-Sex
medium,notinf,resource,no,no,no,no,reference,Adults-Sex
medium,notinf,resource,no,no,no,no,reference,Home-Garden
specific,inf,resource,yes,no,no,no,reference,Health
broad,inf,resource,no,no,no,no,reference,Adults-Sex
specific,both,action,yes,no,no,no,news,Entertainment-Music-Games
medium,inf,resource,no,no,no,no,reference,Adults-Sex
specific,both,resource,yes,yes,no,no,reference,Politics-Government
medium,notinf,action,no,no,no,no,business,Health
medium,both,action,no,no,no,no,reference,Computers-Internet
medium,notinf,resource,no,no,no,no,reference,Adults-Sex
medium,notinf,resource,no,yes,no,no,reference,Adults-Sex
medium,notinf,resource,no,no,no,no,reference,Adults-Sex
medium,notinf,resource,no,no,no,no,reference,Computers-Internet
medium,notinf,resource,no,no,no,no,reference,Social-Science
medium,both,action,no,no,no,no,reference,Entertainment-Music-Games
medium,inf,resource,no,no,no,no,reference,Science-Mathematics
medium,both,action,no,no,no,no,business,Computers-Internet
specific,inf,resource,no,yes,yes,no,reference,Education
specific,inf,resource,no,no,no,no,reference,Home-Garden
specific,inf,resource,no,no,no,no,reference,Home-Garden
medium,inf,resource,no,no,no,no,reference,Computers-Internet
medium,notinf,resource,no,no,no,no,reference,Computers-Internet
medium,inf,resource,no,no,no,no,reference,Adults-Sex
medium,both,action,yes,no,no,no,business,Entertainment-Music-Games
medium,both,action,no,no,no,no,reference,Entertainment-Music-Games
medium,inf,resource,no,no,no,no,reference,Home-Garden
medium,inf,resource,yes,yes,no,no,reference,Health
medium,both,action,yes,no,no,no,business,Entertainment-Music-Games
specific,both,action,no,no,no,no,reference,Computers-Internet
medium,inf,resource,no,no,no,no,reference,Home-Garden
medium,inf,resource,no,yes,no,no,reference,Social-Science
medium,both,action,no,no,no,no,reference,Computers-Internet
medium,inf,action,yes,no,no,no,reference,Health
medium,inf,resource,no,no,no,no,reference,Finance
medium,inf,resource,no,no,no,no,business,Entertainment-Music-Games
specific,inf,resource,no,no,no,no,reference,Arts-Culture
medium,both,resource,no,no,no,no,business,Beauty-Style
specific,inf,resource,yes,yes,no,no,reference,Sports
medium,inf,resource,yes,yes,no,no,reference,Health
medium,inf,resource,no,no,no,no,reference,Social-Science
medium,both,action,no,no,no,no,business,Cars-Transportation
medium,both,resource,yes,no,no,no,business,Technology-Electronic
medium,notinf,resource,no,no,no,no,reference,Arts-Culture
medium,inf,resource,no,no,no,no,reference,Science-Mathematics
medium,both,action,no,no,no,no,news,Entertainment-Music-Games
medium,inf,resource,no,yes,no,no,reference,Education
specific,inf,resource,no,no,no,no,reference,Arts-Culture
specific,inf,resource,yes,no,no,no,reference,Religion-Belief-Systems
specific,inf,resource,no,yes,no,no,business,Health
specific,inf,resource,no,no,no,no,reference,Health
medium,both,action,no,no,no,no,business,Cars-Transportation
broad,inf,resource,no,no,no,no,reference,Adults-Sex
medium,notinf,action,no,yes,no,no,reference,Travel
specific,inf,resource,yes,no,no,no,reference,Religion-Belief-Systems
specific,inf,resource,no,yes,no,no,reference,Sports
broad,inf,resource,no,no,no,no,reference,Adults-Sex
medium,notinf,action,no,yes,no,no,business,Travel
medium,both,action,no,no,no,no,business,Computers-Internet
medium,notinf,resource,no,no,no,no,reference,Religion-Belief-Systems
medium,inf,resource,no,no,no,no,reference,Health
specific,inf,resource,no,yes,no,no,news,Entertainment-Music-Games
medium,inf,resource,no,no,no,no,reference,Adults-Sex
medium,notinf,action,no,yes,no,no,business,Industrial-Goods-Services
medium,notinf,action,yes,yes,no,no,business,Finance
medium,both,resource,no,no,no,no,business,Beauty-Style
specific,both,action,yes,yes,no,no,business,Cars-Transportation
medium,inf,resource,no,no,no,no,reference,Social-Science
medium,both,action,no,no,no,no,business,Home-Garden
medium,inf,resource,no,no,no,no,reference,Health
medium,both,action,no,no,no,no,reference,Entertainment-Music-Games
medium,inf,resource,no,no,no,no,reference,Health
medium,notinf,resource,no,no,no,no,reference,Computers-Internet
specific,inf,resource,no,no,no,no,reference,Science-Mathematics
medium,both,action,no,no,no,no,business,Technology-Electronic
medium,inf,resource,no,no,no,no,reference,Computers-Internet
medium,notinf,action,no,no,no,no,business,Arts-Culture
specific,inf,resource,yes,yes,no,no,reference,Politics-Government
medium,both,action,no,no,no,no,news,Entertainment-Music-Games
medium,inf,resource,no,yes,no,no,reference,Travel
broad,inf,resource,no,yes,no,no,reference,Science-Mathematics
specific,inf,resource,no,yes,yes,no,reference,Finance
specific,both,resource,no,no,no,no,reference,Social-Science
medium,notinf,action,no,no,no,no,reference,Arts-Culture
medium,notinf,resource,no,no,no,no,reference,Computers-Internet
medium,both,resource,no,no,no,no,community,Arts-Culture
medium,inf,resource,no,yes,no,no,business,Cars-Transportation
medium,both,action,no,no,no,no,business,Technology-Electronic
medium,notinf,action,no,yes,no,no,reference,Travel
specific,both,action,yes,yes,no,no,news,Entertainment-Music-Games
