date time tr% acc wn acc1 acc2 acc3 acc4 acc5 acc6 acc7 acc8 acc9 depth unseen missWN missDB onlyCL onlyWords expNum lvlFactor
20/01 19:33:23 0.01 4.2 0 76.6 67 81 26.3 44.6 14.6 16.1 25 8.8 5 1210 0 0 0 1 2288 0.5 
20/01 19:33:41 0.01 5.1 1 72.2 59.4 81.4 59.3 44.7 60.3 62.5 40.2 13.5 5 1156 775 17 0 1 4814 0.5 
20/01 19:33:48 0.01 1.4 0 9.7 35.2 32 75.7 47.7 97.4 97.7 28.9 8 5 1177 0 0 0 0 2463 0.5 
20/01 19:34:12 0.01 7.6 1 51.9 47.6 82 76.9 64.1 98.4 97.7 56.9 13.9 5 1166 775 16 0 0 5831 0.5 
20/01 19:34:15 0.02 8.1 0 78.6 70.5 85.6 37.5 48.5 28.8 30.4 30.8 15.4 5 1178 0 0 0 1 6252 0.5 
20/01 19:34:33 0.02 9.9 1 74.9 67.8 80 50.5 52.4 59.9 61.9 38.2 17.7 5 1176 799 12 0 1 8778 0.5 
20/01 19:34:39 0.02 0 0 75.2 25.8 86.5 83.3 72.3 97.1 96.4 36.9 0.6 5 1138 0 0 0 0 9620 0.5 
20/01 19:34:56 0.02 1.3 1 75 33.5 77 80.6 69.9 98.7 97.4 36.3 2.6 5 1117 784 10 0 0 5339 0.5 
20/01 19:34:59 0.03 10.8 0 78.3 70.4 83.5 45.1 48.3 36.6 38.1 36.6 22.8 5 1169 0 0 0 1 5760 0.5 
20/01 19:35:20 0.03 9.1 1 75.7 70.1 83.1 60.5 54 65.3 67.1 48.2 18.5 5 1174 780 10 0 1 8707 0.5 
20/01 19:35:27 0.03 0 0 32.3 36.1 81.4 81.8 72.9 98.9 97.5 62.5 0.7 5 1134 0 0 0 0 6356 0.5 
20/01 19:35:46 0.03 0.2 1 31.8 36.2 83.3 83.2 70.6 98.7 98.1 60.1 1.7 5 1153 797 10 0 0 5689 0.5 
20/01 19:35:49 0.04 14.5 0 78.6 74.4 84.8 45.5 51.6 41.7 43.2 46.8 24.6 5 1086 0 0 0 1 6110 0.5 
20/01 19:36:07 0.04 15.3 1 75.7 69.9 83.8 61 56.8 68.9 70.3 48.8 27.6 5 1081 713 6 0 1 8636 0.5 
20/01 19:36:14 0.04 0 0 78.2 75 45.1 49 52.5 97.6 98 9.3 0.3 5 1110 0 0 0 0 6285 0.5 
20/01 19:36:36 0.04 0.2 1 18.9 53.6 82.7 78.8 68.8 95.5 97.8 63.1 1.6 5 1104 751 9 0 0 6039 0.5 
20/01 19:36:38 0.05 16.2 0 77.8 76.1 86.8 46.9 54.2 43.6 45.4 42.1 25.8 5 1084 0 0 0 1 9653 0.5 
20/01 19:36:52 0.05 14.5 1 74.5 75.6 85.2 61.8 52.9 65.7 68.1 47.2 25.1 5 1077 727 6 0 1 4951 0.5 
20/01 19:36:59 0.05 0 0 22.6 32 84.3 80.3 77.3 98.9 96.5 48.1 1.1 5 1087 0 0 0 0 2600 0.5 
20/01 19:37:15 0.05 0.1 1 48.4 43.2 86.5 79 73.4 97.4 96.6 62 1 5 1076 725 6 0 0 1512 0.5 
20/01 19:37:18 0.06 20.1 0 78.8 76.8 88.5 52.1 54.5 48.7 51 47.2 32.5 5 1035 0 0 0 1 1933 0.5 
20/01 19:37:30 0.06 16.7 1 75 73.6 82.2 63.5 56.8 70.1 73.2 50.8 29.7 5 1046 708 7 0 1 3617 0.5 
20/01 19:37:37 0.06 0.1 0 24.5 32.4 85.8 47 51 98.6 96.3 33.6 0.8 5 1040 0 0 0 0 1266 0.5 
20/01 19:37:54 0.06 0 1 10.9 66.2 88.3 82.8 75 98.7 97.3 31 1.1 5 1048 686 4 0 0 6985 0.5 
20/01 19:37:56 0.07 17.8 0 75.9 76.5 85.1 55 52.7 50.5 53.6 46.9 31.2 5 1063 0 0 0 1 599 0.5 
20/01 19:38:11 0.07 16.2 1 78.4 71 84.5 68.2 57.7 73.6 76.5 52.6 31.6 5 1050 694 4 0 1 2704 0.5 
20/01 19:38:18 0.07 0.2 0 34.6 74.7 50.5 83.1 80.8 98.8 50.7 22.8 0.7 5 1088 0 0 0 0 353 0.5 
20/01 19:38:35 0.07 0 1 41.8 52.9 83.9 79.9 73.8 98.4 98.2 53.2 0.6 5 1077 741 9 0 0 6072 0.5 
20/01 19:38:38 0.08 17 0 76.6 76.2 87.6 51.2 53.4 46 48 42.3 30 5 1052 0 0 0 1 6493 0.5 
20/01 19:39:05 0.08 15.8 1 73.1 74 86.2 61.9 54 69.6 72.4 49.2 30.1 5 1026 711 6 0 1 282 0.5 
20/01 19:39:12 0.08 0 0 27.7 47.2 87.8 85.5 79.9 99.2 97.6 48.6 0.4 5 1013 0 0 0 0 7931 0.5 
20/01 19:39:59 0.08 0 1 41.6 42.6 87.4 80.8 80.6 98.6 97.8 53.8 1.1 5 995 686 2 0 0 1053 0.5 
20/01 19:40:02 0.09 19.3 0 77.5 75.4 87.3 56.1 54.4 52.3 53.8 49.8 35.8 5 1007 0 0 0 1 8281 0.5 
20/01 19:41:04 0.09 18.8 1 75.1 73.9 84.9 63.2 59.4 73.2 72.8 54.3 32.6 5 1009 682 7 0 1 3508 0.5 
20/01 19:41:10 0.09 0.1 0 34.2 41.5 84.3 83.2 78.5 98.3 97.4 66 0.7 5 1035 0 0 0 0 1157 0.5 
20/01 19:43:23 0.01 5.17668 0 77.2676 65.4063 79.4058 31.6453 44.6545 16.3853 18.2984 27.549 11.0736 5 3929 0 0 0 1 9681 0.5 
20/01 19:44:24 0.01 5.60685 1 73.542 60.7746 70.4346 52.9836 46.9264 60.4594 61.9905 36.6134 11.8442 5 3914 2744 28 0 1 1715 0.5 
20/01 19:44:51 0.01 1.37326 0 21.7019 23.8856 83.9712 77.3525 64.4079 98.6042 97.4786 30.009 5.47051 5 3912 0 0 0 0 5504 0.5 
20/01 19:45:58 0.01 0.0900293 1 6.09948 65.0912 82.2867 80.126 63.1105 98.6045 97.4792 47.3554 6.95476 5 3934 2752 39 0 0 1573 0.5 
20/01 19:46:09 0.02 9.06406 0 74.5343 70.6951 83.4848 40.3907 46.0018 30.3498 32.1445 36.3017 18.0373 5 3844 0 0 0 1 6450 0.5 
20/01 19:46:49 0.02 9.35219 1 64.0055 72.8102 85.0821 49.4069 52.0757 60.4471 65.4881 42.6323 19.9133 5 3812 2692 30 0 1 8730 0.5 
20/01 19:47:18 0.02 0.0684307 0 14.9635 27.6916 82.9151 80.9078 71.4188 98.6314 30.5429 59.3066 0.684307 5 3794 0 0 0 0 6133 0.5 
20/01 19:48:16 0.02 0.0227687 1 23.1102 51.0929 56.4208 77.5729 67.9189 98.6111 65.3461 8.60656 1.04736 5 3831 2697 28 0 0 939 0.5 
20/01 19:48:26 0.03 11.0829 0 77.0507 74.447 84.8618 43.0645 51.106 37.5576 39.3088 39.6544 20.4147 5 3739 0 0 0 1 9009 0.5 
20/01 19:52:21 0.03 10.1082 1 72.7377 70.0898 84.9643 55.814 52.5904 65.8991 67.5109 46.5577 19.9171 5 3752 2623 27 0 1 5040 0.5 
20/01 19:52:49 0.03 3.43476 0 12.9553 34.1171 84.9931 80.8898 50.5533 98.1097 97.4182 40.7331 7.63024 5 3730 0 0 0 0 9250 0.5 
20/01 19:54:19 0.03 0.0919329 1 32.889 50.6091 84.3025 80.2804 70.3976 98.575 97.4489 61.2273 0.689497 5 3743 2639 24 0 0 1880 0.5 
20/01 19:54:29 0.04 14.5421 0 77.1149 75.3204 85.8774 47.1219 51.9925 42.4843 44.5351 44.5118 25.8681 5 3651 0 0 0 1 9950 0.5 
20/01 19:55:13 0.04 13.7931 1 74.6971 68.8257 81.6403 62.2321 54.287 67.9171 69.4082 46.2721 25.8621 5 3656 2565 25 0 1 9458 0.5 
20/01 19:55:41 0.04 0 0 15.8996 73.5937 43.4682 46.4435 51.4877 98.4891 97.4198 16.7596 0.581125 5 3670 0 0 0 0 54 0.5 
20/01 19:59:35 0.04 0.117096 1 72.8103 38.8056 83.3724 79.5082 72.3653 98.5714 97.4473 61.7799 0.562061 5 3621 2549 24 0 0 6085 0.5 
20/01 20:00:11 0.05 14.4799 0 77.2024 74.9063 86.3168 48.2193 51.2184 43.2521 45.478 44.1659 25.2343 5 3604 0 0 0 1 7944 0.5 
20/01 20:06:46 0.05 14.6262 1 68.5514 71.285 83.8084 60.3271 53.3178 67.9907 69.2991 47.243 27.3131 5 3641 2570 21 0 1 9902 0.5 
20/01 20:07:15 0.05 0.565238 0 40.6265 40.9562 85.7984 81.6769 51.9783 98.5398 97.2445 44.8422 2.44936 5 3574 0 0 0 0 4112 0.5 
20/01 20:11:41 0.05 0.0234632 1 35.0774 57.4847 60.1126 79.282 72.4777 98.4984 69.0521 21.5157 1.90052 5 3613 2549 24 0 0 4774 0.5 
20/01 20:11:53 0.06 16.5009 0 77.6515 75.071 86.0559 49.3371 54.0246 44.768 46.4489 44.91 27.5331 5 3548 0 0 0 1 6458 0.5 
20/01 20:18:18 0.06 16.8209 1 72.7402 73.2384 87.07 60.8541 54.3298 68.8493 71.5777 48.9442 31.2218 5 3541 2493 20 0 1 346 0.5 
20/01 20:18:48 0.06 0.571701 0 29.0853 37.7799 84.8737 48.8566 78.8947 98.3087 97.3082 45.8552 1.42925 5 3510 0 0 0 0 1363 0.5 
20/01 20:21:23 0.06 0.0236967 1 33.0095 45.0237 86.1374 80.1185 72.891 98.1043 71.3981 49.5972 1.16114 5 3569 2509 21 0 0 9641 0.5 
20/01 20:21:32 0.07 17.9746 0 78.7377 77.7538 87.641 51.6439 53.8757 49.0041 50.9479 46.8203 32.2534 5 3475 0 0 0 1 7711 0.5 
20/01 20:31:22 0.07 15.2748 1 73.5903 74.9941 84.7252 61.7892 55.5318 69.8073 71.5679 50.7733 29.812 5 3534 2481 21 0 1 3841 0.5 
20/01 20:31:53 0.07 0.0478126 0 30.4566 33.2776 86.5408 82.2137 79.7275 98.0397 97.442 48.1712 0.64547 5 3479 0 0 0 0 4858 0.5 
20/01 20:32:59 0.07 0.0241138 1 39.8601 45.1893 84.3984 81.0707 55.9441 98.2638 72.1485 51.1936 1.03689 5 3441 2432 20 0 0 4120 0.5 
20/01 20:33:08 0.08 17.8789 0 77.1588 74.8723 85.8672 52.7852 54.4636 51.569 53.2717 47.3607 31.8657 5 3414 0 0 0 1 5383 0.5 
20/01 20:35:26 0.08 18.5961 1 76.3831 75.3839 85.011 65.5618 60.7848 72.6298 74.0921 55.4716 34.6088 5 3343 2362 20 0 1 7942 0.5 
20/01 20:36:18 0.08 0 0 32.2659 37.2877 87.2635 82.1931 81.1499 98.5201 97.4527 68.2436 0.630762 5 3440 0 0 0 0 8713 0.5 
20/01 20:41:08 0.08 0.0241546 1 37.4879 54.8792 85.942 77.8261 74.7343 97.8502 97.3188 64.1063 0.603865 5 3437 2423 20 0 0 5936 0.5 
20/01 20:41:19 0.09 20.3822 0 76.5066 78.05 87.7756 55.806 56.6634 53.6502 56.1 50.9064 35.6198 5 3340 0 0 0 1 7620 0.5 
20/01 20:48:13 0.09 20.1956 1 76.8949 73.643 85.11 65.5257 58.5819 71.687 72.7384 53.2518 35.11 5 3349 2396 21 0 1 8911 0.5 
20/01 20:49:02 0.09 0.959882 0 31.7992 36.8447 87.1524 83.1159 79.4487 98.5233 97.2434 48.4125 2.33817 5 3321 0 0 0 0 9261 0.5 
20/01 20:50:59 0.09 0.0745712 1 43.2264 45.4636 85.9309 82.5255 76.7835 98.3346 97.3154 56.2764 0.745712 5 3298 2354 20 0 0 5680 0.5 
20/01 20:51:12 0.1 18.7054 0 76.9136 76.8398 85.9463 55.2547 56.7315 54.8363 57.2483 50.3569 34.5804 5 3310 0 0 0 1 4171 0.5 
20/01 21:00:49 0.1 19.9012 1 77.0123 76.4198 86.642 66.2963 59.5802 73.4074 74.3704 52.0247 35.284 5 3302 2347 21 0 1 1389 0.5 
20/01 21:01:28 0.1 0.0248201 0 36.4607 46.761 87.0191 55.5225 81.7821 98.6349 97.3691 50.3599 0.769422 5 3288 0 0 0 0 7283 0.5 
20/01 21:02:39 0.1 0.0247709 1 39.0389 56.973 86.1283 81.6448 76.9879 98.4642 97.1761 54.4711 0.619272 5 3303 2336 19 0 0 580 0.5 
